56,12,2
225,13,1
26,3,8
162,13,3
97,11,3
173,11,5
148,1,3
85,2,10
19,4,3
120,12,10
86,3,2
91,4,10
171,15,6
190,12,7
76,6,7
258,5,3
110,6,5
200,11,3
24,6,4
80,1,5
270,2,1
170,11,7
195,15,7
3,3,1
9,3,3
34,14,9
240,13,1
283,11,4
274,5,3
64,16,8
111,6,5
242,12,5
150,11,5
251,14,6
149,13,9
243,3,1
162,14,5
13,11,4
55,13,4
25,16,5
98,13,3
174,5,5
258,13,3
106,14,2
288,14,7
112,12,6
105,12,9
115,6,9
260,5,5
66,8,10
15,7,10
174,4,5
276,1,9
292,3,6
178,4,1
1,9,10
132,6,1
171,10,7
228,3,2
235,16,8
21,11,1
178,5,4
175,14,2
263,3,6
60,3,3
209,7,5
14,13,3
297,12,7
136,12,6
102,9,8
122,1,8
12,10,6
156,14,2
149,16,1
137,1,7
223,12,1
256,13,3
295,15,2
12,9,3
133,1,4
264,9,7
129,6,7
70,4,9
269,3,1
136,14,7
10,9,3
139,9,10
25,7,2
80,8,2
287,1,3
103,15,3
23,12,7
121,11,10
107,2,2
142,4,4
156,2,1
91,14,4
10,5,8
271,1,3
15,13,2
264,15,2
12,7,9
159,12,1
171,5,1
100,13,2
284,4,10
201,1,4
196,3,3
1,2,7
266,13,6
256,4,5
7,5,8
46,16,2
299,9,10
57,8,5
196,10,1
29,12,4
230,16,5
32,1,2
91,14,1
73,7,5
117,14,10
14,2,7
253,11,2
188,1,7
271,1,3
254,6,6
124,10,7
126,8,4
258,14,1
124,15,2
148,5,2
217,5,4
219,8,5
237,10,4
274,7,4
241,12,1
183,3,9
101,12,7
163,9,3
146,14,4
132,9,9
21,11,7
244,12,8
156,9,8
30,10,7
144,1,7
190,15,6
255,13,2
188,5,6
148,16,6
240,8,5
7,13,10
298,12,6
127,10,7
231,12,4
139,1,5
9,3,2
50,11,1
274,4,1
241,2,7
185,4,7
94,9,10
97,8,4
294,4,5
166,8,1
218,12,8
145,11,7
252,13,2
23,5,7
36,8,5
237,10,7
79,10,3
295,8,1
58,6,9
95,13,8
68,7,6
55,11,1
4,16,2
13,14,1
274,5,7
244,13,10
218,1,10
273,6,4
196,9,4
39,16,9
298,10,4
180,14,4
169,1,4
91,10,1
267,5,7
31,4,7
192,14,7
128,16,10
18,13,3
205,13,2
36,13,3
88,8,5
101,10,1
24,15,3
